Date,inflation,unemployment,gdp,exports,imports,acc_balance,consumption,population,emigration,immigration,life_expectancy,deaths
2023-06-30,1.9000000000000001,4.766666666666667,20673.3,44750.7,37861.8,38.0,26587.0,663619.25,16588.0,26964.0,83.42500000000001,4430.247999586209
2023-09-30,2.966666666666667,5.166666666666667,20097.6,45062.3,38303.0,4153.0,26587.0,666429.5,16588.0,26964.0,83.45,4435.262329790032
2023-12-31,2.466666666666667,5.8999999999999995,21855.1,44831.3,38525.4,1161.0,26587.0,669239.75,16588.0,26964.0,83.475,4448.231728264462
2024-03-31,3.1333333333333333,6.133333333333333,20869.1,42413.2,35529.4,1864.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
2024-06-30,3.0,5.966666666666666,21662.5,42015.2,34906.2,513.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
2024-09-30,1.7333333333333334,6.366666666666667,20707.6,40025.5,33316.9,4468.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
2024-12-31,1.2,6.733333333333333,22941.1,40609.7,33907.5,-3168.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
2025-03-31,1.9333333333333333,6.8,21494.1,42006.3,35045.3,1456.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
2025-06-30,2.066666666666667,6.366666666666667,22026.6,41786.2,34828.3,725.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
2025-09-30,2.8333333333333335,6.35,22026.6,41786.2,34828.3,725.0,26587.0,672050.0,16588.0,26964.0,83.5,4471.0
